"","co.member.no","co.member.name"
"1",9771092,"서삼석(더불어민주당/徐參錫)"
"2",9770941,"김병기(더불어민주당/金炳基)"
"3",9770527,"김상희(더불어민주당/金相姬)"
"4",9770986,"김철민(더불어민주당/金哲玟)"
"5",9771091,"맹성규(더불어민주당/孟聖奎)"
"6",9770995,"박정(더불어민주당/朴釘)"
"7",9770963,"박찬대(더불어민주당/朴贊大)"
"8",9770784,"서영교(더불어민주당/徐瑛敎)"
"9",NA,"심기준(더불어민주당/沈基俊)"
"10",NA,"윤일규(더불어민주당/尹一逵)"
"11",NA,"이훈(더불어민주당/李薰)"
"12",9770846,"전해철(더불어민주당/全海澈)"
"13",9770973,"조승래(더불어민주당/趙承來)"
"14",NA,"신창현(더불어민주당/申昌賢)"
"17",9770753,"노웅래(더불어민주당/盧雄來)"
"19",9770356,"변재일(더불어민주당/卞在一)"
"22",9770786,"설훈(더불어민주당/薛勳)"
"23",9770813,"윤후덕(더불어민주당/尹厚德)"
"24",NA,"이용득(더불어민주당/李龍得)"
"25",NA,"이찬열(바른미래당/李燦烈)"
"26",NA,"김동철(바른미래당/金東喆)"
"27",NA,"김종회(민주평화당/金鍾懷)"
"29",NA,"김현아(자유한국당/金炫我)"
"31",NA,"유승희(더불어민주당/兪承希)"
"32",9770808,"윤관석(더불어민주당/尹官石)"
"34",9770926,"전혜숙(더불어민주당/全惠淑)"
"35",NA,"황주홍(민주평화당/黃柱洪)"
"36",9770932,"박주민(더불어민주당/朴柱民)"
"37",NA,"금태섭(더불어민주당/琴泰燮)"
"38",9770927,"기동민(더불어민주당/奇東旻)"
"46",9770966,"유동수(더불어민주당/柳東秀)"
"48",NA,"윤준호(더불어민주당/尹俊晧)"
"50",9771000,"임종성(더불어민주당/林鍾聲)"
"51",NA,"정재호(더불어민주당/鄭在浩)"
"52",NA,"표창원(더불어민주당/表蒼園)"
"53",9771094,"송언석(자유한국당/宋彦錫)"
"54",NA,"김수민(바른미래당/金秀玟)"
"55",9771023,"김정재(자유한국당/金汀才)"
"56",9770768,"박덕흠(자유한국당/朴德欽)"
"57",NA,"박맹우(자유한국당/朴孟雨)"
"58",9771008,"성일종(자유한국당/成一鍾)"
"59",NA,"송희경(자유한국당/宋喜卿)"
"60",NA,"원유철(자유한국당/元裕哲)"
"61",NA,"이완영(자유한국당/李完永)"
"62",9771006,"정진석(자유한국당/鄭鎭碩)"
"64",NA,"경대수(자유한국당/慶大秀)"
"65",NA,"김명연(자유한국당/金明淵)"
"66",NA,"문진국(자유한국당/文鎭國)"
"68",9771003,"이양수(자유한국당/李亮壽)"
"69",NA,"이종명(자유한국당/李鍾明)"
"70",9771002,"이철규(자유한국당/李喆圭)"
"71",9770883,"주호영(자유한국당/朱豪英)"
"72",NA,"황영철(자유한국당/黃永哲)"
"74",NA,"강석호(자유한국당/姜碩鎬)"
"76",NA,"박명재(자유한국당/朴明在)"
"77",NA,"서청원(무소속/徐淸源)"
"78",NA,"윤종필(자유한국당/尹鍾畢)"
"79",9771041,"임이자(자유한국당/林利子)"
"80",NA,"정갑윤(자유한국당/鄭甲潤)"
"81",NA,"정병국(바른미래당/鄭柄國)"
"82",9770962,"추경호(자유한국당/秋慶鎬)"
"83",NA,"김병관(더불어민주당/金炳官)"
"84",NA,"권미혁(더불어민주당/權美赫)"
"85",NA,"김종대(정의당/金鍾大)"
"86",NA,"김현권(더불어민주당/金玄權)"
"87",9770950,"박재호(더불어민주당/朴在昊)"
"88",9770779,"박홍근(더불어민주당/朴洪根)"
"89",9770968,"신동근(더불어민주당/申東根)"
"90",9770872,"우원식(더불어민주당/禹元植)"
"92",9770876,"윤호중(더불어민주당/尹昊重)"
"93",NA,"이종걸(더불어민주당/李鍾杰)"
"96",NA,"홍의락(더불어민주당/洪宜洛)"
"100",NA,"서형수(더불어민주당/徐炯洙)"
"113",9771017,"안호영(더불어민주당/安浩永)"
"116",9771068,"정춘숙(더불어민주당/鄭春淑)"
"117",NA,"제윤경(더불어민주당/諸閏景)"
"118",9770752,"남인순(더불어민주당/南仁順)"
"119",9770980,"백혜련(더불어민주당/白惠蓮)"
"120",9770999,"소병훈(더불어민주당/蘇秉勳)"
"121",9771093,"송갑석(더불어민주당/宋甲錫)"
"126",9771098,"이상헌(더불어민주당/李相憲)"
"128",9770859,"한정애(더불어민주당/韓貞愛)"
"129",NA,"백재현(더불어민주당/白在鉉)"
"130",NA,"강창일(더불어민주당/姜昌一)"
"131",9770934,"김영호(더불어민주당/金映豪)"
"137",9771060,"이재정(더불어민주당/李在汀)"
"146",NA,"원혜영(더불어민주당/元惠榮)"
"147",NA,"이규희(더불어민주당/李揆熙)"
"159",9770936,"황희(더불어민주당/黃熙)"
"171",NA,"김성태(자유한국당/金聖泰)"
"172",9770982,"김진표(더불어민주당/金振杓)"
"173",NA,"김학용(자유한국당/金學容)"
"176",NA,"안상수(자유한국당/安相洙)"
"178",9771015,"이용호(무소속/李容鎬)"
"179",9770835,"이채익(자유한국당/李埰益)"
"180",NA,"정유섭(자유한국당/鄭有燮)"
"231",NA,"장병완(민주평화당/張秉浣)"
"232",NA,"김경진(민주평화당/金京鎭)"
"234",NA,"박주현(바른미래당/朴珠賢)"
"235",NA,"박지원(민주평화당/朴智元)"
"236",NA,"윤영일(민주평화당/尹英壹)"
"237",NA,"이용주(민주평화당/李勇周)"
"238",NA,"장정숙(바른미래당/張貞淑)"
"239",NA,"정인화(민주평화당/鄭仁和)"
"240",NA,"조배숙(민주평화당/趙培淑)"
"241",NA,"천정배(민주평화당/千正培)"
"242",NA,"최경환(민주평화당/崔敬煥)"
"245",NA,"김광수(민주평화당/金光守)"
"247",NA,"유성엽(민주평화당/柳成葉)"
"258",9771024,"김석기(자유한국당/金碩基)"
"262",9770811,"윤영석(자유한국당/尹永碩)"
"263",NA,"이진복(자유한국당/李珍福)"
"265",NA,"나경원(자유한국당/羅卿瑗)"
"266",NA,"강석진(자유한국당/姜錫振)"
"268",NA,"강효상(자유한국당/姜孝祥)"
"270",NA,"곽대훈(자유한국당/郭大勳)"
"271",9770956,"곽상도(자유한국당/郭尙道)"
"272",9770679,"권성동(자유한국당/權性東)"
"273",NA,"김광림(자유한국당/金光琳)"
"274",NA,"김규환(자유한국당/金奎煥)"
"275",NA,"김기선(자유한국당/金起善)"
"276",9770719,"김도읍(자유한국당/金度邑)"
"278",NA,"김무성(자유한국당/金武星)"
"279",9770725,"김상훈(자유한국당/金相勳)"
"281",NA,"김선동(자유한국당/金善東)"
"282",9770985,"김성원(자유한국당/金成願)"
"283",NA,"김성찬(자유한국당/金盛贊)"
"285",NA,"김성태(자유한국당/金成泰)"
"286",NA,"김세연(자유한국당/金世淵)"
"287",NA,"김순례(자유한국당/金順禮)"
"288",NA,"김승희(자유한국당/金承禧)"
"289",NA,"김영우(자유한국당/金榮宇)"
"290",NA,"김용태(자유한국당/金容兌)"
"291",NA,"김재경(자유한국당/金在庚)"
"292",NA,"김재원(자유한국당/金在原)"
"294",NA,"김정훈(자유한국당/金正薰)"
"295",NA,"김종석(자유한국당/金鍾奭)"
"296",NA,"김진태(자유한국당/金鎭台)"
"297",9770742,"김태흠(자유한국당/金泰欽)"
"299",NA,"김한표(자유한국당/金漢杓)"
"302",NA,"민경욱(자유한국당/閔庚旭)"
"303",9770767,"박대출(자유한국당/朴大出)"
"307",9770944,"박성중(자유한국당/朴成重)"
"308",NA,"박순자(자유한국당/朴順子)"
"309",9771030,"박완수(자유한국당/朴完洙)"
"310",NA,"박인숙(자유한국당/朴仁淑)"
"311",NA,"백승주(자유한국당/白承周)"
"313",9770996,"송석준(자유한국당/宋錫俊)"
"316",NA,"신보라(자유한국당/申普羅)"
"317",NA,"신상진(자유한국당/申相珍)"
"318",NA,"심재철(자유한국당/沈在哲)"
"320",NA,"엄용수(자유한국당/嚴龍洙)"
"321",NA,"여상규(자유한국당/余尙奎)"
"322",NA,"염동열(자유한국당/廉東烈)"
"324",NA,"유기준(자유한국당/兪奇濬)"
"325",NA,"유민봉(자유한국당/庾敏鳳)"
"326",NA,"유재중(자유한국당/柳在仲)"
"327",NA,"윤상직(자유한국당/尹相直)"
"328",9770598,"윤상현(자유한국당/尹相現)"
"330",9770812,"윤재옥(자유한국당/尹在玉)"
"332",9771032,"윤한홍(자유한국당/尹漢洪)"
"333",9771028,"이만희(자유한국당/李晩熙)"
"334",9770602,"이명수(자유한국당/李明洙)"
"337",NA,"이우현(자유한국당/李愚鉉)"
"338",NA,"이은권(자유한국당/李殷權)"
"339",NA,"이은재(자유한국당/李恩宰)"
"340",NA,"이장우(자유한국당/李莊雨)"
"341",NA,"이종구(자유한국당/李鍾九)"
"343",9770914,"이종배(자유한국당/李鍾培)"
"344",NA,"이주영(자유한국당/李柱榮)"
"348",NA,"이학재(자유한국당/李鶴宰)"
"349",9770837,"이헌승(자유한국당/李憲昇)"
"350",NA,"이현재(자유한국당/李賢在)"
"352",NA,"장석춘(자유한국당/張錫春)"
"353",9770954,"장제원(자유한국당/張濟元)"
"354",NA,"전희경(자유한국당/全希卿)"
"356",NA,"정양석(자유한국당/鄭亮碩)"
"357",NA,"정용기(자유한국당/鄭容起)"
"358",NA,"정우택(자유한국당/鄭宇澤)"
"360",NA,"정종섭(자유한국당/鄭宗燮)"
"362",NA,"정태옥(자유한국당/鄭泰沃)"
"363",9770450,"조경태(자유한국당/趙慶泰)"
"364",NA,"조훈현(자유한국당/曺薰鉉)"
"365",NA,"주광덕(자유한국당/朱光德)"
"367",NA,"최경환(자유한국당/崔炅煥)"
"368",NA,"최교일(자유한국당/崔敎一)"
"369",NA,"최연혜(자유한국당/崔然惠)"
"371",NA,"한선교(자유한국당/韓善敎)"
"372",NA,"함진규(자유한국당/咸珍圭)"
"373",NA,"홍문종(우리공화당/洪文鐘)"
"374",9770886,"홍문표(자유한국당/洪文杓)"
"375",NA,"홍일표(자유한국당/洪日杓)"
"376",NA,"홍철호(자유한국당/洪哲鎬)"
"604",9770981,"김영진(더불어민주당/金榮鎭)"
"610",9770839,"인재근(더불어민주당/印在謹)"
"616",NA,"김정우(더불어민주당/金政祐)"
"617",9770741,"김태년(더불어민주당/金太年)"
"628",9771001,"송기헌(더불어민주당/宋基憲)"
"645",NA,"홍문종(자유한국당/洪文鐘)"
"658",NA,"채이배(바른미래당/蔡利培)"
"659",9770977,"권은희(바른미래당/權垠希)"
"661",NA,"김관영(바른미래당/金寬永)"
"662",NA,"김삼화(바른미래당/金三和)"
"664",NA,"박선숙(바른미래당/朴仙淑)"
"665",NA,"신용현(바른미래당/申容賢)"
"666",NA,"이동섭(바른미래당/李銅燮)"
"667",NA,"임재훈(바른미래당/林哉勳)"
"669",9770774,"박완주(더불어민주당/朴完柱)"
"680",9770931,"고용진(더불어민주당/高榕禛)"
"686",NA,"이후삼(더불어민주당/李厚三)"
"687",9770951,"전재수(더불어민주당/田載秀)"
"688",NA,"최재성(더불어민주당/崔宰誠)"
"691",NA,"김해영(더불어민주당/金海永)"
"698",9770952,"최인호(더불어민주당/崔仁昊)"
"804",9770878,"이인영(더불어민주당/李仁榮)"
"832",9770712,"김경협(더불어민주당/金炅俠)"
"834",9771009,"김종민(더불어민주당/金鍾民)"
