no,name,party,Id
9770090,박병석,무소속,박병석-무소속
9770356,변재일,더불어민주당,변재일-더불어민주당
9770372,안민석,더불어민주당,안민석-더불어민주당
9770414,이상민,더불어민주당,이상민-더불어민주당
9770450,조경태,국민의힘,조경태-국민의힘
9770456,조정식,더불어민주당,조정식-더불어민주당
9770527,김상희,더불어민주당,김상희-더불어민주당
9770587,안규백,더불어민주당,안규백-더불어민주당
9770598,윤상현,무소속,윤상현-무소속
9770602,이명수,국민의힘,이명수-국민의힘
9770676,홍영표,더불어민주당,홍영표-더불어민주당
9770679,권성동,국민의힘,권성동-국민의힘
9770712,김경협,더불어민주당,김경협-더불어민주당
9770719,김도읍,국민의힘,김도읍-국민의힘
9770723,김민기,더불어민주당,김민기-더불어민주당
9770725,김상훈,국민의힘,김상훈-국민의힘
9770741,김태년,더불어민주당,김태년-더불어민주당
9770742,김태흠,국민의힘,김태흠-국민의힘
9770752,남인순,더불어민주당,남인순-더불어민주당
9770753,노웅래,더불어민주당,노웅래-더불어민주당
9770755,도종환,더불어민주당,도종환-더불어민주당
9770764,민홍철,더불어민주당,민홍철-더불어민주당
9770767,박대출,국민의힘,박대출-국민의힘
9770768,박덕흠,무소속,박덕흠-무소속
9770770,박범계,더불어민주당,박범계-더불어민주당
9770774,박완주,더불어민주당,박완주-더불어민주당
9770779,박홍근,더불어민주당,박홍근-더불어민주당
9770784,서영교,더불어민주당,서영교-더불어민주당
9770786,설훈,더불어민주당,설훈-더불어민주당
9770808,윤관석,더불어민주당,윤관석-더불어민주당
9770811,윤영석,국민의힘,윤영석-국민의힘
9770812,윤재옥,국민의힘,윤재옥-국민의힘
9770813,윤후덕,더불어민주당,윤후덕-더불어민주당
9770826,이원욱,더불어민주당,이원욱-더불어민주당
9770835,이채익,국민의힘,이채익-국민의힘
9770836,이학영,더불어민주당,이학영-더불어민주당
9770837,이헌승,국민의힘,이헌승-국민의힘
9770839,인재근,더불어민주당,인재근-더불어민주당
9770846,전해철,더불어민주당,전해철-더불어민주당
9770852,진선미,더불어민주당,진선미-더불어민주당
9770858,하태경,국민의힘,하태경-국민의힘
9770859,한정애,더불어민주당,한정애-더불어민주당
9770864,홍익표,더불어민주당,홍익표-더불어민주당
9770869,심상정,정의당,심상정-정의당
9770871,우상호,더불어민주당,우상호-더불어민주당
9770872,우원식,더불어민주당,우원식-더불어민주당
9770876,윤호중,더불어민주당,윤호중-더불어민주당
9770878,이인영,더불어민주당,이인영-더불어민주당
9770881,정성호,더불어민주당,정성호-더불어민주당
9770883,주호영,국민의힘,주호영-국민의힘
9770886,홍문표,국민의힘,홍문표-국민의힘
9770905,이개호,더불어민주당,이개호-더불어민주당
9770911,박광온,더불어민주당,박광온-더불어민주당
9770912,유의동,국민의힘,유의동-국민의힘
9770914,이종배,국민의힘,이종배-국민의힘
9770926,전혜숙,더불어민주당,전혜숙-더불어민주당
9770927,기동민,더불어민주당,기동민-더불어민주당
9770929,박용진,더불어민주당,박용진-더불어민주당
9770931,고용진,더불어민주당,고용진-더불어민주당
9770932,박주민,더불어민주당,박주민-더불어민주당
9770933,강병원,더불어민주당,강병원-더불어민주당
9770934,김영호,더불어민주당,김영호-더불어민주당
9770936,황희,더불어민주당,황희-더불어민주당
9770941,김병기,더불어민주당,김병기-더불어민주당
9770944,박성중,국민의힘,박성중-국민의힘
9770950,박재호,더불어민주당,박재호-더불어민주당
9770951,전재수,더불어민주당,전재수-더불어민주당
9770952,최인호,더불어민주당,최인호-더불어민주당
9770954,장제원,국민의힘,장제원-국민의힘
9770956,곽상도,국민의힘,곽상도-국민의힘
9770962,추경호,국민의힘,추경호-국민의힘
9770963,박찬대,더불어민주당,박찬대-더불어민주당
9770966,유동수,더불어민주당,유동수-더불어민주당
9770967,송영길,더불어민주당,송영길-더불어민주당
9770968,신동근,더불어민주당,신동근-더불어민주당
9770973,조승래,더불어민주당,조승래-더불어민주당
9770975,김영주,더불어민주당,김영주-더불어민주당
9770977,권은희,국민의당,권은희-국민의당
9770980,백혜련,더불어민주당,백혜련-더불어민주당
9770981,김영진,더불어민주당,김영진-더불어민주당
9770982,김진표,더불어민주당,김진표-더불어민주당
9770984,김병욱,더불어민주당,김병욱-더불어민주당
9770985,김성원,국민의힘,김성원-국민의힘
9770986,김철민,더불어민주당,김철민-더불어민주당
9770990,조응천,더불어민주당,조응천-더불어민주당
9770991,김한정,더불어민주당,김한정-더불어민주당
9770995,박정,더불어민주당,박정-더불어민주당
9770996,송석준,국민의힘,송석준-국민의힘
9770997,김두관,더불어민주당,김두관-더불어민주당
9770998,권칠승,더불어민주당,권칠승-더불어민주당
9770999,소병훈,더불어민주당,소병훈-더불어민주당
9771000,임종성,더불어민주당,임종성-더불어민주당
9771001,송기헌,더불어민주당,송기헌-더불어민주당
9771002,이철규,국민의힘,이철규-국민의힘
9771003,이양수,국민의힘,이양수-국민의힘
9771006,정진석,국민의힘,정진석-국민의힘
9771007,강훈식,더불어민주당,강훈식-더불어민주당
9771008,성일종,국민의힘,성일종-국민의힘
9771009,김종민,더불어민주당,김종민-더불어민주당
9771010,어기구,더불어민주당,어기구-더불어민주당
9771012,정운천,국민의힘,정운천-국민의힘
9771015,이용호,무소속,이용호-무소속
9771017,안호영,더불어민주당,안호영-더불어민주당
9771023,김정재,국민의힘,김정재-국민의힘
9771024,김석기,국민의힘,김석기-국민의힘
9771028,이만희,국민의힘,이만희-국민의힘
9771030,박완수,국민의힘,박완수-국민의힘
9771032,윤한홍,국민의힘,윤한홍-국민의힘
9771037,오영훈,더불어민주당,오영훈-더불어민주당
9771038,위성곤,더불어민주당,위성곤-더불어민주당
9771041,임이자,국민의힘,임이자-국민의힘
9771058,송옥주,더불어민주당,송옥주-더불어민주당
9771060,이재정,더불어민주당,이재정-더불어민주당
9771068,정춘숙,더불어민주당,정춘숙-더불어민주당
9771089,김성환,더불어민주당,김성환-더불어민주당
9771090,김정호,더불어민주당,김정호-더불어민주당
9771091,맹성규,더불어민주당,맹성규-더불어민주당
9771092,서삼석,더불어민주당,서삼석-더불어민주당
9771093,송갑석,더불어민주당,송갑석-더불어민주당
9771094,송언석,국민의힘,송언석-국민의힘
9771098,이상헌,더불어민주당,이상헌-더불어민주당
9771103,정점식,국민의힘,정점식-국민의힘
9771106,이낙연,더불어민주당,이낙연-더불어민주당
9771107,박성준,더불어민주당,박성준-더불어민주당
9771108,권영세,국민의힘,권영세-국민의힘
9771109,고민정,더불어민주당,고민정-더불어민주당
9771110,장경태,더불어민주당,장경태-더불어민주당
9771111,김영배,더불어민주당,김영배-더불어민주당
9771112,천준호,더불어민주당,천준호-더불어민주당
9771113,오기형,더불어민주당,오기형-더불어민주당
9771114,정청래,더불어민주당,정청래-더불어민주당
9771115,이용선,더불어민주당,이용선-더불어민주당
9771116,강선우,더불어민주당,강선우-더불어민주당
9771117,진성준,더불어민주당,진성준-더불어민주당
9771118,윤건영,더불어민주당,윤건영-더불어민주당
9771119,최기상,더불어민주당,최기상-더불어민주당
9771120,김민석,더불어민주당,김민석-더불어민주당
9771121,유기홍,더불어민주당,유기홍-더불어민주당
9771122,정태호,더불어민주당,정태호-더불어민주당
9771123,윤희숙,국민의힘,윤희숙-국민의힘
9771125,박진,국민의힘,박진-국민의힘
9771126,유경준,국민의힘,유경준-국민의힘
9771127,김웅,국민의힘,김웅-국민의힘
9771128,배현진,국민의힘,배현진-국민의힘
9771129,이해식,더불어민주당,이해식-더불어민주당
9771130,황보승희,국민의힘,황보승희-국민의힘
9771132,안병길,국민의힘,안병길-국민의힘
9771133,서병수,국민의힘,서병수-국민의힘
9771134,김희곤,국민의힘,김희곤-국민의힘
9771135,박수영,국민의힘,박수영-국민의힘
9771136,김미애,국민의힘,김미애-국민의힘
9771137,백종헌,국민의힘,백종헌-국민의힘
