co.member.no,name,party,Id
9000000,강길부,무소속,강길부-무소속
9770933,강병원,더불어민주당,강병원-더불어민주당
9000001,강석진,미래통합당,강석진-미래통합당
9000002,강석호,미래통합당,강석호-미래통합당
9000003,강창일,더불어민주당,강창일-더불어민주당
9000004,강효상,미래통합당,강효상-미래통합당
9771007,강훈식,더불어민주당,강훈식-더불어민주당
9000005,경대수,미래통합당,경대수-미래통합당
9770931,고용진,더불어민주당,고용진-더불어민주당
9000006,곽대훈,무소속,곽대훈-무소속
9770956,곽상도,미래통합당,곽상도-미래통합당
9000007,권미혁,더불어민주당,권미혁-더불어민주당
9000008,권석창,미래통합당,권석창-미래통합당
9770679,권성동,무소속,권성동-무소속
9770977,권은희,국민의당,권은희-국민의당
9770998,권칠승,더불어민주당,권칠승-더불어민주당
9000009,금태섭,더불어민주당,금태섭-더불어민주당
9770927,기동민,더불어민주당,기동민-더불어민주당
9000010,김경수,더불어민주당,김경수-더불어민주당
9000011,김경진,무소속,김경진-무소속
9770712,김경협,더불어민주당,김경협-더불어민주당
9000012,김관영,무소속,김관영-무소속
9000013,김광림,미래통합당,김광림-미래통합당
9000014,김광수,무소속,김광수-무소속
9000015,김규환,미래통합당,김규환-미래통합당
9000016,김기선,미래통합당,김기선-미래통합당
9770719,김도읍,미래통합당,김도읍-미래통합당
9000017,김동철,민생당,김동철-민생당
9770997,김두관,더불어민주당,김두관-더불어민주당
9000018,김명연,미래통합당,김명연-미래통합당
9000019,김무성,미래통합당,김무성-미래통합당
9770723,김민기,더불어민주당,김민기-더불어민주당
9000020,김병관,더불어민주당,김병관-더불어민주당
9770941,김병기,더불어민주당,김병기-더불어민주당
9770984,김병욱,더불어민주당,김병욱-더불어민주당
9000021,김부겸,더불어민주당,김부겸-더불어민주당
9000022,김삼화,민생당,김삼화-민생당
9770725,김상훈,미래통합당,김상훈-미래통합당
9770527,김상희,더불어민주당,김상희-더불어민주당
9771024,김석기,미래통합당,김석기-미래통합당
9000023,김선동,미래통합당,김선동-미래통합당
9000024,김성수,더불어민주당,김성수-더불어민주당
9000025,김성식,무소속,김성식-무소속
9770985,김성원,미래통합당,김성원-미래통합당
9000026,김성찬,미래통합당,김성찬-미래통합당
9000027,김성태,미래통합당,김성태-미래통합당
9000194,김성태2,미래통합당,김성태2-미래통합당
9771089,김성환,더불어민주당,김성환-더불어민주당
9000028,김세연,미래통합당,김세연-미래통합당
9000029,김수민,민생당,김수민-민생당
9000030,김순례,미래통합당,김순례-미래통합당
9000031,김승희,미래통합당,김승희-미래통합당
9000032,김영우,미래통합당,김영우-미래통합당
9770975,김영주,더불어민주당,김영주-더불어민주당
9770981,김영진,더불어민주당,김영진-더불어민주당
9000033,김영춘,더불어민주당,김영춘-더불어민주당
9770934,김영호,더불어민주당,김영호-더불어민주당
9000034,김용태,미래통합당,김용태-미래통합당
9000035,김재경,미래통합당,김재경-미래통합당
9000036,김재원,미래통합당,김재원-미래통합당
9000037,김정우,더불어민주당,김정우-더불어민주당
9771023,김정재,미래통합당,김정재-미래통합당
9771090,김정호,더불어민주당,김정호-더불어민주당
9000038,김정훈,미래통합당,김정훈-미래통합당
9000039,김종대,정의당,김종대-정의당
9771009,김종민,더불어민주당,김종민-더불어민주당
9000040,김종석,미래통합당,김종석-미래통합당
9000041,김종인,더불어민주당,김종인-더불어민주당
9000042,김종태,미래통합당,김종태-미래통합당
9000043,김종회,무소속,김종회-무소속
9000044,김종훈,민중당,김종훈-민중당
9000045,김중로,민생당,김중로-민생당
9000046,김진태,미래통합당,김진태-미래통합당
9770982,김진표,더불어민주당,김진표-더불어민주당
9770986,김철민,더불어민주당,김철민-더불어민주당
9770741,김태년,더불어민주당,김태년-더불어민주당
9770742,김태흠,미래통합당,김태흠-미래통합당
9000047,김학용,미래통합당,김학용-미래통합당
9770991,김한정,더불어민주당,김한정-더불어민주당
9000048,김한표,미래통합당,김한표-미래통합당
9000049,김해영,더불어민주당,김해영-더불어민주당
9000050,김현권,더불어민주당,김현권-더불어민주당
9000051,김현미,더불어민주당,김현미-더불어민주당
9000052,김현아,미래통합당,김현아-미래통합당
9000053,나경원,미래통합당,나경원-미래통합당
9770752,남인순,더불어민주당,남인순-더불어민주당
9770753,노웅래,더불어민주당,노웅래-더불어민주당
9000054,노회찬,정의당,노회찬-정의당
9770755,도종환,더불어민주당,도종환-더불어민주당
9771091,맹성규,더불어민주당,맹성규-더불어민주당
9000055,문미옥,더불어민주당,문미옥-더불어민주당
9000056,문진국,미래통합당,문진국-미래통합당
9000057,문희상,무소속,문희상-무소속
9000058,민경욱,미래통합당,민경욱-미래통합당
9000059,민병두,무소속,민병두-무소속
9770764,민홍철,더불어민주당,민홍철-더불어민주당
9000060,박경미,더불어민주당,박경미-더불어민주당
9770911,박광온,더불어민주당,박광온-더불어민주당
9000061,박남춘,더불어민주당,박남춘-더불어민주당
9770767,박대출,미래통합당,박대출-미래통합당
9770768,박덕흠,미래통합당,박덕흠-미래통합당
9000062,박맹우,미래통합당,박맹우-미래통합당
9000063,박명재,미래통합당,박명재-미래통합당
9770770,박범계,더불어민주당,박범계-더불어민주당
9770090,박병석,더불어민주당,박병석-더불어민주당
9000064,박선숙,민생당,박선숙-민생당
9770944,박성중,미래통합당,박성중-미래통합당
9000065,박순자,미래통합당,박순자-미래통합당
9000066,박영선,더불어민주당,박영선-더불어민주당
9771030,박완수,미래통합당,박완수-미래통합당
9770774,박완주,더불어민주당,박완주-더불어민주당
9770929,박용진,더불어민주당,박용진-더불어민주당
9000067,박인숙,미래통합당,박인숙-미래통합당
9770950,박재호,더불어민주당,박재호-더불어민주당
9770995,박정,더불어민주당,박정-더불어민주당
9770932,박주민,더불어민주당,박주민-더불어민주당
9000068,박주선,민생당,박주선-민생당
9000069,박주현,민생당,박주현-민생당
9000070,박준영,민생당,박준영-민생당
9000071,박지원,민생당,박지원-민생당
9770963,박찬대,더불어민주당,박찬대-더불어민주당
9000072,박찬우,미래통합당,박찬우-미래통합당
9770779,박홍근,더불어민주당,박홍근-더불어민주당
9000073,배덕광,미래통합당,배덕광-미래통합당
9000074,백승주,미래통합당,백승주-미래통합당
9000075,백재현,더불어민주당,백재현-더불어민주당
9770980,백혜련,더불어민주당,백혜련-더불어민주당
9770356,변재일,더불어민주당,변재일-더불어민주당
9771092,서삼석,더불어민주당,서삼석-더불어민주당
9770784,서영교,더불어민주당,서영교-더불어민주당
9000076,서청원,우리공화당,서청원-우리공화당
9000077,서형수,더불어민주당,서형수-더불어민주당
9770786,설훈,더불어민주당,설훈-더불어민주당
9771008,성일종,미래통합당,성일종-미래통합당
9770999,소병훈,더불어민주당,소병훈-더불어민주당
9000078,손금주,더불어민주당,손금주-더불어민주당
9000079,손혜원,열린민주당,손혜원-열린민주당
9771093,송갑석,더불어민주당,송갑석-더불어민주당
9000080,송기석,민생당,송기석-민생당
9771001,송기헌,더불어민주당,송기헌-더불어민주당
9770996,송석준,미래통합당,송석준-미래통합당
9771094,송언석,미래통합당,송언석-미래통합당
9770967,송영길,더불어민주당,송영길-더불어민주당
9771058,송옥주,더불어민주당,송옥주-더불어민주당
9000081,송희경,미래통합당,송희경-미래통합당
9000082,신경민,더불어민주당,신경민-더불어민주당
9770968,신동근,더불어민주당,신동근-더불어민주당
9000083,신보라,미래통합당,신보라-미래통합당
9000084,신상진,미래통합당,신상진-미래통합당
9000085,신용현,민생당,신용현-민생당
9000086,신창현,더불어민주당,신창현-더불어민주당
9000087,심기준,더불어민주당,심기준-더불어민주당
9770869,심상정,정의당,심상정-정의당
9000088,심재권,더불어민주당,심재권-더불어민주당
9000089,심재철,미래통합당,심재철-미래통합당
9770587,안규백,더불어민주당,안규백-더불어민주당
9770372,안민석,더불어민주당,안민석-더불어민주당
9000090,안상수,미래통합당,안상수-미래통합당
9000091,안철수,민생당,안철수-민생당
9771017,안호영,더불어민주당,안호영-더불어민주당
9000092,양승조,더불어민주당,양승조-더불어민주당
9771010,어기구,더불어민주당,어기구-더불어민주당
9000093,엄용수,미래통합당,엄용수-미래통합당
9000094,여상규,미래통합당,여상규-미래통합당
9000095,여영국,정의당,여영국-정의당
9000096,염동열,미래통합당,염동열-미래통합당
9000097,오세정,민생당,오세정-민생당
9000098,오신환,미래통합당,오신환-미래통합당
9771037,오영훈,더불어민주당,오영훈-더불어민주당
9000099,오제세,더불어민주당,오제세-더불어민주당
9770871,우상호,더불어민주당,우상호-더불어민주당
9770872,우원식,더불어민주당,우원식-더불어민주당
9000100,원유철,미래통합당,원유철-미래통합당
9000101,원혜영,더불어민주당,원혜영-더불어민주당
9771038,위성곤,더불어민주당,위성곤-더불어민주당
9000102,유기준,미래통합당,유기준-미래통합당
9770966,유동수,더불어민주당,유동수-더불어민주당
9000103,유민봉,미래통합당,유민봉-미래통합당
9000104,유성엽,민생당,유성엽-민생당
9000105,유승민,미래통합당,유승민-미래통합당
9000106,유승희,더불어민주당,유승희-더불어민주당
9000107,유은혜,더불어민주당,유은혜-더불어민주당
9770912,유의동,미래통합당,유의동-미래통합당
9000108,유재중,미래통합당,유재중-미래통합당
9770808,윤관석,더불어민주당,윤관석-더불어민주당
9000109,윤상직,미래통합당,윤상직-미래통합당
9770598,윤상현,무소속,윤상현-무소속
9000110,윤소하,정의당,윤소하-정의당
9770811,윤영석,미래통합당,윤영석-미래통합당
9000111,윤영일,민생당,윤영일-민생당
9000112,윤일규,더불어민주당,윤일규-더불어민주당
9770812,윤재옥,미래통합당,윤재옥-미래통합당
9000113,윤종오,민중당,윤종오-민중당
9000114,윤종필,미래통합당,윤종필-미래통합당
9000115,윤준호,더불어민주당,윤준호-더불어민주당
9771032,윤한홍,미래통합당,윤한홍-미래통합당
9770876,윤호중,더불어민주당,윤호중-더불어민주당
9770813,윤후덕,더불어민주당,윤후덕-더불어민주당
9770905,이개호,더불어민주당,이개호-더불어민주당
9000116,이군현,미래통합당,이군현-미래통합당
9000117,이규희,더불어민주당,이규희-더불어민주당
9000118,이동섭,민생당,이동섭-민생당
9771028,이만희,미래통합당,이만희-미래통합당
9770602,이명수,미래통합당,이명수-미래통합당
9000119,이상돈,민생당,이상돈-민생당
9770414,이상민,더불어민주당,이상민-더불어민주당
9771098,이상헌,더불어민주당,이상헌-더불어민주당
9000120,이석현,더불어민주당,이석현-더불어민주당
9000121,이수혁,더불어민주당,이수혁-더불어민주당
9771003,이양수,미래통합당,이양수-미래통합당
9000122,이언주,미래통합당,이언주-미래통합당
9000123,이완영,미래통합당,이완영-미래통합당
9000124,이용득,더불어민주당,이용득-더불어민주당
9000125,이용주,무소속,이용주-무소속
9771015,이용호,무소속,이용호-무소속
9000126,이우현,미래통합당,이우현-미래통합당
9770826,이원욱,더불어민주당,이원욱-더불어민주당
9000127,이은권,미래통합당,이은권-미래통합당
9000128,이은재,무소속,이은재-무소속
9770878,이인영,더불어민주당,이인영-더불어민주당
9000129,이장우,미래통합당,이장우-미래통합당
9771060,이재정,더불어민주당,이재정-더불어민주당
9000130,이정미,정의당,이정미-정의당
9000131,이정현,무소속,이정현-무소속
9000132,이종걸,더불어민주당,이종걸-더불어민주당
9000133,이종구,미래통합당,이종구-미래통합당
9000134,이종명,미래통합당,이종명-미래통합당
9770914,이종배,미래통합당,이종배-미래통합당
9000135,이주영,미래통합당,이주영-미래통합당
9000136,이진복,미래통합당,이진복-미래통합당
9000137,이찬열,미래통합당,이찬열-미래통합당
9770835,이채익,미래통합당,이채익-미래통합당
9771002,이철규,미래통합당,이철규-미래통합당
9000138,이철우,미래통합당,이철우-미래통합당
9000139,이철희,더불어민주당,이철희-더불어민주당
9000140,이춘석,더불어민주당,이춘석-더불어민주당
9771280,이태규,국민의당,이태규-국민의당
9770836,이학영,더불어민주당,이학영-더불어민주당
9000141,이학재,미래통합당,이학재-미래통합당
9000142,이해찬,더불어민주당,이해찬-더불어민주당
9770837,이헌승,미래통합당,이헌승-미래통합당
9000143,이현재,무소속,이현재-무소속
9000144,이혜훈,미래통합당,이혜훈-미래통합당
9000145,이후삼,더불어민주당,이후삼-더불어민주당
9000146,이훈,더불어민주당,이훈-더불어민주당
9770839,인재근,더불어민주당,인재근-더불어민주당
9771041,임이자,미래통합당,임이자-미래통합당
9000147,임재훈,민생당,임재훈-민생당
9771000,임종성,더불어민주당,임종성-더불어민주당
9000148,장병완,민생당,장병완-민생당
9000149,장석춘,미래통합당,장석춘-미래통합당
9000150,장정숙,민생당,장정숙-민생당
9770954,장제원,미래통합당,장제원-미래통합당
9770951,전재수,더불어민주당,전재수-더불어민주당
9770846,전해철,더불어민주당,전해철-더불어민주당
9000151,전현희,더불어민주당,전현희-더불어민주당
9770926,전혜숙,더불어민주당,전혜숙-더불어민주당
9000152,전희경,미래통합당,전희경-미래통합당
9000153,정갑윤,미래통합당,정갑윤-미래통합당
9000154,정동영,민생당,정동영-민생당
9000155,정병국,미래통합당,정병국-미래통합당
9770881,정성호,더불어민주당,정성호-더불어민주당
9000156,정세균,더불어민주당,정세균-더불어민주당
9000157,정양석,미래통합당,정양석-미래통합당
9000158,정용기,미래통합당,정용기-미래통합당
9000159,정우택,미래통합당,정우택-미래통합당
9771012,정운천,미래통합당,정운천-미래통합당
9000160,정유섭,미래통합당,정유섭-미래통합당
9000161,정인화,무소속,정인화-무소속
9000162,정재호,더불어민주당,정재호-더불어민주당
9771103,정점식,미래통합당,정점식-미래통합당
9000163,정종섭,미래통합당,정종섭-미래통합당
9771006,정진석,미래통합당,정진석-미래통합당
9771068,정춘숙,더불어민주당,정춘숙-더불어민주당
9000164,정태옥,무소속,정태옥-무소속
9000165,제윤경,더불어민주당,제윤경-더불어민주당
9770450,조경태,미래통합당,조경태-미래통합당
9000166,조배숙,민생당,조배숙-민생당
9770973,조승래,더불어민주당,조승래-더불어민주당
9000167,조원진,우리공화당,조원진-우리공화당
9770990,조응천,더불어민주당,조응천-더불어민주당
9770456,조정식,더불어민주당,조정식-더불어민주당
9000168,조훈현,미래통합당,조훈현-미래통합당
9000169,주광덕,미래통합당,주광덕-미래통합당
9000170,주승용,민생당,주승용-민생당
9770883,주호영,미래통합당,주호영-미래통합당
9000171,지상욱,미래통합당,지상욱-미래통합당
9770852,진선미,더불어민주당,진선미-더불어민주당
9000172,진영,더불어민주당,진영-더불어민주당
