co.member.name,number
강길부(무소속/姜吉夫)?,9000000
강길부(자유한국당/姜吉夫),9000000
강길부(자유한국당/姜吉夫)?,9000000
강길부(바른정당/姜吉夫),9000000
강길부(바른정당/姜吉夫)?,9000000
강길부(개혁보수신당/姜吉夫),9000000
강길부(새누리당/姜吉夫),9000000
강길부(새누리당/姜吉夫)?,9000000
강길부(무소속/姜吉夫),9000000
강석진(자유한국당/姜錫振),9000001
강석진(자유한국당/姜錫振)?,9000001
강석진(새누리당/姜錫振),9000001
강석진(새누리당/姜錫振)?,9000001
강석호(자유한국당/姜碩鎬),9000002
강석호(자유한국당/姜碩鎬)?,9000002
강석호(새누리당/姜碩鎬),9000002
강석호(새누리당/姜碩鎬)?,9000002
강창일(더불어민주당/姜昌一)?,9000003
강창일(더불어민주당/姜昌一),9000003
강효상(자유한국당/姜孝祥),9000004
강효상(자유한국당/姜孝祥)?,9000004
강효상(새누리당/姜孝祥),9000004
강효상(새누리당/姜孝祥)?,9000004
경대수(자유한국당/慶大秀),9000005
경대수(자유한국당/慶大秀)?,9000005
경대수(새누리당/慶大秀),9000005
경대수(새누리당/慶大秀)?,9000005
곽대훈(자유한국당/郭大勳),9000006
곽대훈(자유한국당/郭大勳)?,9000006
곽대훈(새누리당/郭大勳),9000006
곽대훈(새누리당/郭大勳)?,9000006
권미혁(더불어민주당/權美赫)?,9000007
권미혁(더불어민주당/權美赫),9000007
권석창(자유한국당/權錫昌),9000008
권석창(자유한국당/權錫昌)?,9000008
권석창(새누리당/權錫昌),9000008
권석창(새누리당/權錫昌)?,9000008
금태섭(더불어민주당/琴泰燮)?,9000009
금태섭(더불어민주당/琴泰燮),9000009
김경수(더불어민주당/金慶洙)?,9000010
김경수(더불어민주당/金慶洙),9000010
김경진(민주평화당/金京鎭),9000011
김경진(민주평화당/金京鎭)?,9000011
김경진(국민의당/金京鎭),9000011
김경진(국민의당/金京鎭)?,9000011
김경진(무소속/金京鎭),9000011
김관영(바른미래당/金寬永),9000012
김관영(바른미래당/金寬永)?,9000012
김관영(국민의당/金寬永),9000012
김관영(국민의당/金寬永)?,9000012
김관영(무소속/金寬永),9000012
김광림(자유한국당/金光琳),9000013
김광림(자유한국당/金光琳)?,9000013
김광림(새누리당/金光琳),9000013
김광림(새누리당/金光琳)?,9000013
김광수(민주평화당/金光守),9000014
김광수(민주평화당/金光守)?,9000014
김광수(국민의당/金光守),9000014
김광수(국민의당/金光守)?,9000014
김광수(무소속/金光守),9000014
김규환(자유한국당/金奎煥),9000015
김규환(자유한국당/金奎煥)?,9000015
김규환(새누리당/金奎煥),9000015
김규환(새누리당/金奎煥)?,9000015
김기선(자유한국당/金起善),9000016
김기선(자유한국당/金起善)?,9000016
김기선(새누리당/金起善),9000016
김기선(새누리당/金起善)?,9000016
김동철(바른미래당/金東喆),9000017
김동철(바른미래당/金東喆)?,9000017
김동철(국민의당/金東喆),9000017
김동철(국민의당/金東喆)?,9000017
김명연(자유한국당/金明淵),9000018
김명연(자유한국당/金明淵)?,9000018
김명연(새누리당/金明淵),9000018
김명연(새누리당/金明淵)?,9000018
김무성(자유한국당/金武星),9000019
김무성(자유한국당/金武星)?,9000019
김무성(바른정당/金武星),9000019
김무성(바른정당/金武星)?,9000019
김무성(새누리당/金武星)?,9000019
김무성(새누리당/金武星),9000019
김병관(더불어민주당/金炳官)?,9000020
김병관(더불어민주당/金炳官),9000020
김부겸(더불어민주당/金富謙)?,9000021
김부겸(더불어민주당/金富謙),9000021
김삼화(바른미래당/金三和),9000022
김삼화(바른미래당/金三和)?,9000022
김삼화(국민의당/金三和),9000022
김삼화(국민의당/金三和)?,9000022
김선동(자유한국당/金善東),9000023
김선동(자유한국당/金善東)?,9000023
김선동(새누리당/金善東),9000023
김선동(새누리당/金善東)?,9000023
김성수(더불어민주당/金聖洙)?,9000024
김성수(더불어민주당/金聖洙),9000024
김성식(바른미래당/金成植),9000025
김성식(바른미래당/金成植)?,9000025
김성식(국민의당/金成植),9000025
김성식(국민의당/金成植)?,9000025
김성식(무소속/金成植),9000025
김성찬(자유한국당/金盛贊),9000026
김성찬(자유한국당/金盛贊)?,9000026
김성찬(미래한국당/金盛贊),9000026
김성찬(새누리당/金盛贊),9000026
김성찬(새누리당/金盛贊)?,9000026
김성태(자유한국당/金聖泰),9000027
김성태(자유한국당/金聖泰)?,9000027
김성태(바른정당/金聖泰),9000027
김성태(바른정당/金聖泰)?,9000027
김성태(개혁보수신당/金聖泰),9000027
김성태(새누리당/金聖泰),9000027
김성태(새누리당/金聖泰)?,9000027
김세연(자유한국당/金世淵),9000028
김세연(자유한국당/金世淵)?,9000028
김세연(바른정당/金世淵),9000028
김세연(바른정당/金世淵)?,9000028
김세연(개혁보수신당/金世淵),9000028
김세연(새누리당/金世淵),9000028
김세연(새누리당/金世淵)?,9000028
김세연(미래통합당/金世淵),9000028
김수민(바른미래당/金秀玟),9000029
김수민(바른미래당/金秀玟)?,9000029
김수민(국민의당/金秀玟),9000029
김수민(국민의당/金秀玟)?,9000029
김순례(자유한국당/金順禮),9000030
김순례(자유한국당/金順禮)?,9000030
김순례(새누리당/金順禮),9000030
김순례(새누리당/金順禮)?,9000030
김승희(자유한국당/金承禧),9000031
김승희(자유한국당/金承禧)?,9000031
김승희(새누리당/金承禧),9000031
김승희(새누리당/金承禧)?,9000031
김영우(자유한국당/金榮宇),9000032
김영우(자유한국당/金榮宇)?,9000032
김영우(바른정당/金榮宇),9000032
김영우(바른정당/金榮宇)?,9000032
김영우(새누리당/金榮宇),9000032
김영우(새누리당/金榮宇)?,9000032
김영춘(더불어민주당/金榮春)?,9000033
김영춘(더불어민주당/金榮春),9000033
김용태(자유한국당/金容兌),9000034
김용태(자유한국당/金容兌)?,9000034
김용태(바른정당/金容兌),9000034
김용태(바른정당/金容兌)?,9000034
김용태(새누리당/金容兌),9000034
김용태(새누리당/金容兌)?,9000034
김재경(자유한국당/金在庚),9000035
김재경(자유한국당/金在庚)?,9000035
김재경(바른정당/金在庚),9000035
김재경(바른정당/金在庚)?,9000035
김재경(개혁보수신당/金在庚),9000035
김재경(새누리당/金在庚),9000035
김재경(새누리당/金在庚)?,9000035
김재원(자유한국당/金在原),9000036
김재원(자유한국당/金在原)?,9000036
김재원(미래통합당/金在原),9000036
김정우(더불어민주당/金政祐)?,9000037
김정우(더불어민주당/金政祐),9000037
김정훈(자유한국당/金正薰),9000038
김정훈(자유한국당/金正薰)?,9000038
